Date,Open,High,Low,Close,Adj Close,Volume
2025-04-20,0.736008,0.737028,0.733181,0.736008,0.736008,0
2025-04-21,0.735619,0.736887,0.734711,0.735619,0.735619,0
2025-04-22,0.735235,0.736464,0.733353,0.735235,0.735235,0
2025-04-23,0.737523,0.740017,0.736583,0.737523,0.737523,0
2025-04-24,0.738809,0.739908,0.737615,0.738809,0.738809,0
2025-04-25,0.740209,0.741290,0.735732,0.740209,0.740209,0
2025-04-26,0.735592,0.736616,0.735056,0.735592,0.735592,0
2025-04-27,0.735364,0.735494,0.731588,0.735364,0.735364,0
2025-04-28,0.733197,0.734026,0.731384,0.733197,0.733197,0
2025-04-29,0.733192,0.733547,0.730861,0.733192,0.733192,0
2025-04-30,0.730807,0.734878,0.730556,0.730807,0.730807,0
2025-05-01,0.733837,0.737267,0.733471,0.733837,0.733837,0
2025-05-02,0.736448,0.738389,0.735716,0.736448,0.736448,0
2025-05-03,0.737953,0.739596,0.736518,0.737953,0.737953,0
2025-05-04,0.737871,0.740653,0.737849,0.737871,0.737871,0
2025-05-05,0.739930,0.741125,0.738089,0.739930,0.739930,0
2025-05-06,0.739541,0.742291,0.739262,0.739541,0.739541,0
2025-05-07,0.741455,0.746960,0.741422,0.741455,0.741455,0
2025-05-08,0.743898,0.746519,0.742716,0.743898,0.743898,0
2025-05-09,0.742021,0.742391,0.739525,0.742021,0.742021,0
2025-05-10,0.741977,0.744907,0.741691,0.741977,0.741977,0
2025-05-11,0.742005,0.743268,0.741218,0.742005,0.742005,0
2025-05-12,0.743472,0.743660,0.739919,0.743472,0.743472,0
2025-05-13,0.739667,0.740636,0.738738,0.739667,0.739667,0
2025-05-14,0.740686,0.742176,0.740001,0.740686,0.740686,0
2025-05-15,0.741235,0.745306,0.738651,0.741235,0.741235,0
2025-05-16,0.736719,0.737354,0.731261,0.736719,0.736719,0
2025-05-17,0.731192,0.731101,0.728088,0.731192,0.731192,0
2025-05-18,0.729442,0.730391,0.725800,0.729442,0.729442,0
2025-05-19,0.727580,0.729448,0.725484,0.727580,0.727580,0
2025-05-20,0.729623,0.732504,0.728194,0.729623,0.729623,0
2025-05-21,0.732005,0.734603,0.731267,0.732005,0.732005,0
2025-05-22,0.736350,0.736941,0.734479,0.736350,0.736350,0
2025-05-23,0.736182,0.736817,0.734279,0.736182,0.736182,0
2025-05-24,0.735592,0.736485,0.731727,0.735592,0.735592,0
2025-05-25,0.730791,0.733299,0.730546,0.730791,0.730791,0
2025-05-26,0.732907,0.734624,0.732349,0.732907,0.732907,0
2025-05-27,0.734516,0.734748,0.729826,0.734516,0.734516,0
2025-05-28,0.732440,0.734333,0.730039,0.732440,0.732440,0
2025-05-29,0.729192,0.729805,0.727829,0.729192,0.729192,0
2025-05-30,0.729113,0.731459,0.728146,0.729113,0.729113,0
2025-05-31,0.729767,0.731208,0.728009,0.729767,0.729767,0
2025-06-01,0.730540,0.731979,0.727077,0.730540,0.730540,0
2025-06-02,0.727717,0.728321,0.724228,0.727717,0.727717,0
2025-06-03,0.724485,0.725189,0.722695,0.724485,0.724485,0
2025-06-04,0.723903,0.724900,0.721105,0.723903,0.723903,0
2025-06-05,0.721324,0.723846,0.721194,0.721324,0.721324,0
2025-06-06,0.723139,0.723909,0.720248,0.723139,0.723139,0
2025-06-07,0.720638,0.722418,0.719865,0.720638,0.720638,0
2025-06-08,0.722836,0.726232,0.721959,0.722836,0.722836,0
2025-06-09,0.727431,0.731748,0.726760,0.727431,0.727431,0
2025-06-10,0.732032,0.733730,0.730818,0.732032,0.732032,0
2025-06-11,0.730071,0.730353,0.726048,0.730071,0.730071,0
2025-06-12,0.726296,0.727008,0.724438,0.726296,0.726296,0
2025-06-13,0.724995,0.727421,0.724307,0.724995,0.724995,0
2025-06-14,0.724270,0.725111,0.721787,0.724270,0.724270,0
2025-06-15,0.724695,0.725811,0.723034,0.724695,0.724695,0
2025-06-16,0.724559,0.729469,0.722397,0.724559,0.724559,0
2025-06-17,0.729959,0.732316,0.729416,0.729959,0.729959,0
2025-06-18,0.730812,0.731155,0.725926,0.730812,0.730812,0
2025-06-19,0.727162,0.729480,0.726243,0.727162,0.727162,0
2025-06-20,0.728916,0.730455,0.727394,0.728916,0.728916,0
2025-06-21,0.728645,0.731048,0.728295,0.728645,0.728645,0
2025-06-22,0.729874,0.730439,0.726528,0.729874,0.729874,0
2025-06-23,0.730327,0.732536,0.729395,0.730327,0.730327,0
2025-06-24,0.730193,0.735619,0.729331,0.730193,0.730193,0
2025-06-25,0.733649,0.734074,0.732038,0.733649,0.733649,0
